numeroPatrimonio;nomePatrimonio;valorAquisicao;dataAquisicao
16;FOGÃO INDUSTRIAL COURAÇADO 4 BOCAS COM FORNO EMBUTIDO;2.935,36;03/08/2022
14;FREEZER VERTICAL PROSDOCIMO 220 V;800,00;25/07/2022
42;BOTIJÃO DE GÁS - AZUL;125,00;12/08/2022
44;BATEDEIRA 220V;84,99;23/08/2022
2;FORNO A GAS SEMI INDUSTRIAL DAKO 250 L;1.294,90;03/08/2022
3;FOGÃO 6 BOCAS DAKO;949,05;03/08/2022
7;TANQUINHO 10 KG SUGGAR 127 V;499,00;25/07/2022
41;ASPIRADOR DE PÓ SONIC - CINZA E BRANCO;254,92;10/08/2022
45;FERRO DE PASSAR 1200W - PRETO;132,90;23/08/2022
5;MAQUINA DE LAVAR ROUPA BRASTEMP 11 KG;1.539,00;22/07/2022
6;AMASSADEIRA DE PÃO SEMI RAPIDA;3.599,00;25/07/2022
4;TRITURADOR DE FRUTAS PARA SUCO CADENCE;1.139,89;03/08/2022
40;LIQUIDIFICADOR INDUSTRIAL SKYMSEN - INOX E PRETO;999,40;10/08/2022
43;TRANSFORMADOR BIVOLT 2000 VA - PRETO;139,99;23/08/2022
13;GELADEIRA CONSUL FROST FREE DUPLEX 450 LITROS;3.449,90;25/07/2022
15;SELADORA DE PEDAL COM TEMPORIZADOR;835,00;25/07/2022
17;ESTANTE ARMARIO DE AÇO COM PRATELEIRAS;607,11;25/07/2022
18;ARMARIO SUSPENSO 5 PORTAS;379,00;25/07/2022
19;ARMARIO SUSPENSO 4 PORTAS;300,00;25/07/2022
20;ARMARIO SUSPENSO 2 PORTAS;250,00;25/07/2022
22;BOTIJÃO DE GAS;125,00;22/07/2022
23;BOTIJÃO DE GAS;125,00;22/07/2022
24;BOTIJÃO DE GAS;125,00;22/07/2022
131;ESPREMEDOR DE FRUTAS JUICER PLUS 200V;483,75;19/09/2022
27;MESA DE ESCRITÓRIO 1.70 x 0.60 CM COM DUAS GAVETAS;741,31;09/08/2022
38;MESA DE CENTRO COM VIDRO - MARROM;200,00;10/08/2022
11;CADEIRA LONGARINA 3 LUGARES;375,00;25/07/2022
126;CADEIRA LONGARINA 3 LUGARES;375,00;02/09/2022
127;BANCO ESTOFADO SEM ENCOSTO;410,00;02/09/2022
145;RECEPTOR DIGITAL;100,00;26/09/2022
21;APARELHO DE FAX PANASONIC;100,00;02/08/2022
12;IMPRESSORA EPSON L210 TANQUE;879,99;03/08/2022
28;CADEIRA PLÁSTICA;117,60;10/08/2022
29;CADEIRA PLÁSTICA BRANCA;117,60;10/08/2022
32;CADEIRA PARA ESCRITÓRIO COM APOIO PARA OS BRAÇOS DE BASE FIXA - VERMELHO;484,99;10/08/2022
34;ROTEADOR WI-FI 6 AX1800 ZTE - BRANCO;538,90;10/08/2022
37;AR-CONDICIONADO AGRATTO SPLIT FIT TOP 12000 BTUs - BRANCO;1.699,00;10/08/2022
39;PRATELEIRA COM DIVISÓRIAS - BRANCO;250,00;10/08/2022
51;MONITOR LCD LED AOC 18.5 POLEGADAS;729,90;24/08/2022
26;MESA DE ESCRITÓRIO 1.70 x 0.60 CM COM DUAS GAVETAS;741,31;09/08/2022
52;MONITOR LCD LED AOC 18.5 POLEGADAS;729,90;24/08/2022
53;MONITOR LCD LG 19 POLEGADAS;575,30;24/08/2022
54;MONITOR LCD LG 15.6 POLEGADAS;359,90;24/08/2022
146;MICROFONE COM FIO LE SON;225,00;26/09/2022
147;MICROFONE COM FIO LE SON;225,00;26/09/2022
148;MICROFONE COM FIO LE SON;225,00;26/09/2022
31;MODEM DE INTERNET FIBERHOME WIFI GPON ONU - BRANCO;743,00;10/08/2022
25;MESA DE ESCRITÓRIO 1.20 x 0.60 CM COM 2 GAVETAS;560,66;09/08/2022
30;CADEIRA PLÁSTICA BRANCA;117,60;10/08/2022
33;APARELHO DE SOM MINI SYSTEM PHILIPS - PRETO E PRATA;150,00;10/08/2022
35;ROTEADOR WI-FI 6 AX1800 ZTE - BRANCO;538,90;10/08/2022
36;ARMÁRIO BAIXO DE MADEIRA COM DUAS PORTAS - BRANCO E PRETO;312,93;10/08/2022
8;ARMARIO DE AÇO 4 GAVETAS PASTA SUSPENSA;975,00;25/07/2022
9;ARMARIO DE AÇO 4 GAVETAS PASTA SUSPENSA;975,00;25/07/2022
10;ARMARIO DE AÇO 4 GAVETAS PASTA SUSPENSA;975,00;25/07/2022
50;"COMPUTADOR CORE I5; 8GB DE MEMÓRIA; HD 500GB COM TECLADO, MOUSE, CAIXA DE SOM E WEBCAM.";1.659,73;24/08/2022
128;"SERVIDOR - CORE I3 4130 3.40GHZ; 8GB DE RAM; HD 1TB; Placa Mãe Lga 1150 H81";1.313,83;02/09/2022
77;MICROFONE COM FIO LE SON;225,00;02/09/2022
66;CADEIRA DE MADEIRA MACIÇA;179,00;29/08/2022
70;PIANO YAMAHA;8.910,00;02/09/2022
80;MICROFONE COM FIO LE SON;225,00;02/09/2022
81;MICROFONE SEM FIO SENNHEISER;2.499,99;02/09/2022
83;MICROFONE SEM FIO SOUNDEX;990,00;02/09/2022
88;MICROFONE SEM FIO SHURE;1.450,00;02/09/2022
89;AR CONDICIONADO SAMSUNG 24.000BTUs;4.323,00;02/09/2022
90;MESA DE SOM BEHRINGER;5.900,00;02/09/2022
93;MONITOR LCD SAMSUNG 21.5';1.399,00;02/09/2022
95;MONITOR LCD AOC 18.5';729,90;02/09/2022
96;PROJETOR EPSON;4.599,00;02/09/2022
109;BANCO ESTOFADO EM TECIDO 3.5 M;1.250,00;02/09/2022
114;BANCO ESTOFADO EM TECIDO 3.5 M;1.250,00;02/09/2022
115;BANCO ESTOFADO EM TECIDO 3.5 M;1.250,00;02/09/2022
119;BANCO ESTOFADO EM TECIDO 3.5 M;1.250,00;02/09/2022
121;POLTRONA DECORATIVA EM CAPITONÊ;212,98;02/09/2022
